lf,fc,rf,ll,rr,sin_err,cos_err,dist_norm,left_out,right_out
0.8325,0.8180,0.8258,0.9274,0.9052,0.0094,-1.0000,0.7309,0.2083,0.4167
0.8341,0.8192,0.8267,0.9302,0.9053,0.0099,-1.0000,0.7299,0.2083,0.4167
0.8354,0.8201,0.8274,0.9322,0.9053,0.0104,-0.9999,0.7290,0.2083,0.4167
0.8362,0.8206,0.8277,0.9336,0.9052,0.0110,-0.9999,0.7281,0.2083,0.4167
0.8366,0.8209,0.8279,0.9344,0.9051,0.0117,-0.9999,0.7272,0.2083,0.4167
0.8368,0.8210,0.8280,0.9347,0.9050,0.0123,-0.9999,0.7263,0.2083,0.4167
0.8368,0.8210,0.8279,0.9347,0.9050,0.0131,-0.9999,0.7255,0.2083,0.4167
0.8367,0.8209,0.8279,0.9345,0.9050,0.0138,-0.9999,0.7246,0.2083,0.4167
0.8365,0.8208,0.8278,0.9343,0.9050,0.0146,-0.9999,0.7238,0.2083,0.4167
0.8364,0.8208,0.8278,0.9341,0.9051,0.0155,-0.9999,0.7230,0.2083,0.4167
0.8364,0.8208,0.8279,0.9339,0.9053,0.0164,-0.9999,0.7222,0.2083,0.4167
0.8365,0.8209,0.8280,0.9339,0.9056,0.0173,-0.9998,0.7215,0.2083,0.4167
0.8366,0.8211,0.8283,0.9339,0.9059,0.0183,-0.9998,0.7207,0.2083,0.4167
0.8368,0.8213,0.8285,0.9341,0.9062,0.0193,-0.9998,0.7201,0.2083,0.4167
0.8371,0.8216,0.8288,0.9343,0.9065,0.0204,-0.9998,0.7194,0.2083,0.4167
0.8373,0.8219,0.8291,0.9346,0.9068,0.0215,-0.9998,0.7188,0.2083,0.4167
0.8376,0.8221,0.8293,0.9349,0.9071,0.0226,-0.9997,0.7181,0.2083,0.4167
0.8379,0.8224,0.8296,0.9352,0.9074,0.0238,-0.9997,0.7176,0.4167,0.2083
0.8353,0.8201,0.8274,0.9319,0.9056,0.0249,-0.9997,0.7170,0.4167,0.2083
0.8331,0.8181,0.8256,0.9291,0.9041,0.0261,-0.9997,0.7165,0.4167,0.2083
0.8314,0.8169,0.8246,0.9264,0.9038,0.0272,-0.9996,0.7158,0.4167,0.2083
0.8304,0.8165,0.8248,0.9241,0.9052,0.0283,-0.9996,0.7152,0.4167,0.2083
0.8301,0.8170,0.8259,0.9221,0.9080,0.0294,-0.9996,0.7145,0.4167,0.2083
0.8303,0.8181,0.8278,0.9203,0.9119,0.0304,-0.9995,0.7138,0.4167,0.2083
0.8307,0.8194,0.8300,0.9187,0.9163,0.0314,-0.9995,0.7130,0.4167,0.2083
0.8312,0.8208,0.8323,0.9172,0.9208,0.0323,-0.9995,0.7123,0.4167,0.2083
0.8316,0.8220,0.8343,0.9157,0.9249,0.0332,-0.9994,0.7115,0.4167,0.2083
0.8318,0.8229,0.8360,0.9143,0.9284,0.0340,-0.9994,0.7107,0.4167,0.2083
0.8318,0.8234,0.8372,0.9129,0.9311,0.0348,-0.9994,0.7098,0.4167,0.2083
0.8316,0.8236,0.8380,0.9117,0.9331,0.0356,-0.9994,0.7090,0.4167,0.2083
0.8313,0.8236,0.8384,0.9105,0.9344,0.0363,-0.9993,0.7081,0.4167,0.2083
0.8309,0.8234,0.8385,0.9094,0.9352,0.0370,-0.9993,0.7072,0.4167,0.2083
0.8304,0.8232,0.8385,0.9085,0.9357,0.0376,-0.9993,0.7063,0.4167,0.2083
0.8301,0.8229,0.8385,0.9077,0.9361,0.0382,-0.9993,0.7054,0.4167,0.2083
0.8297,0.8227,0.8384,0.9071,0.9363,0.0387,-0.9993,0.7044,0.4167,0.2083
0.8296,0.8226,0.8385,0.9067,0.9366,0.0392,-0.9992,0.7035,0.4167,0.2083
0.8295,0.8226,0.8386,0.9064,0.9369,0.0396,-0.9992,0.7025,0.4167,0.2083
0.8294,0.8226,0.8386,0.9062,0.9371,0.0400,-0.9992,0.7015,0.4167,0.2083
0.8293,0.8225,0.8386,0.9060,0.9372,0.0404,-0.9992,0.7006,0.4167,0.2083
0.8292,0.8224,0.8385,0.9059,0.9372,0.0406,-0.9992,0.6996,0.4167,0.2083
0.8291,0.8223,0.8383,0.9057,0.9369,0.0409,-0.9992,0.6986,0.4167,0.2083
0.8288,0.8220,0.8380,0.9056,0.9364,0.0411,-0.9992,0.6976,0.4167,0.2083
0.8286,0.8217,0.8376,0.9055,0.9358,0.0412,-0.9992,0.6966,0.4167,0.2083
0.8282,0.8213,0.8371,0.9053,0.9141,0.0413,-0.9991,0.6956,0.4167,0.2083
0.8279,0.8209,0.8366,0.9052,0.8815,0.0413,-0.9991,0.6946,0.4167,0.2083
0.8276,0.8205,0.8361,0.9051,0.8495,0.0413,-0.9991,0.6936,0.4167,0.2083
0.8274,0.8202,0.8357,0.9050,0.8205,0.0412,-0.9991,0.6925,0.4167,0.2083
0.8272,0.8200,0.8353,0.9049,0.7954,0.0411,-0.9992,0.6915,0.4167,0.2083
0.8271,0.8198,0.8352,0.9049,0.7708,0.0409,-0.9992,0.6905,0.4167,0.2083
0.8270,0.8198,0.8351,0.9049,0.7477,0.0407,-0.9992,0.6895,0.4167,0.2083
0.8271,0.8199,0.8352,0.9050,0.7260,0.0404,-0.9992,0.6885,0.4167,0.2083
0.8273,0.8201,0.8355,0.9051,0.7079,0.0400,-0.9992,0.6875,0.4167,0.2083
0.8276,0.8205,0.8214,0.9053,0.6894,0.0396,-0.9992,0.6866,0.4167,0.2083
0.8280,0.8209,0.7890,0.9055,0.6721,0.0392,-0.9992,0.6856,0.4167,0.2083
0.8284,0.8214,0.7593,0.9057,0.6561,0.0386,-0.9993,0.6847,0.4167,0.2083
